"R1"	"R2"	"C1"	"C2"
"317"	"R6"	"R11"	"C1"	"C9"
"318"	"R6"	"R12"	"C1"	"C9"
"319"	"R6"	"R13"	"C1"	"C9"
"320"	"R6"	"R14"	"C1"	"C9"
"321"	"R6"	"R15"	"C1"	"C9"
"322"	"R6"	"R7"	"C1"	"C10"
"323"	"R6"	"R8"	"C1"	"C10"
"324"	"R6"	"R10"	"C1"	"C10"
"325"	"R6"	"R11"	"C1"	"C10"
"326"	"R6"	"R12"	"C1"	"C10"
"327"	"R6"	"R13"	"C1"	"C10"
"328"	"R6"	"R14"	"C1"	"C10"
"329"	"R6"	"R15"	"C1"	"C10"
"330"	"R6"	"R7"	"C1"	"C11"
"331"	"R6"	"R8"	"C1"	"C11"
"332"	"R6"	"R10"	"C1"	"C11"
"333"	"R6"	"R11"	"C1"	"C11"
"334"	"R6"	"R12"	"C1"	"C11"
"335"	"R6"	"R13"	"C1"	"C11"
"336"	"R6"	"R14"	"C1"	"C11"
"337"	"R6"	"R15"	"C1"	"C11"
"338"	"R6"	"R7"	"C1"	"C12"
"339"	"R6"	"R8"	"C1"	"C12"
"340"	"R6"	"R10"	"C1"	"C12"
"341"	"R6"	"R11"	"C1"	"C12"
"342"	"R6"	"R12"	"C1"	"C12"
"343"	"R6"	"R13"	"C1"	"C12"
"344"	"R6"	"R14"	"C1"	"C12"
"345"	"R6"	"R15"	"C1"	"C12"
"346"	"R6"	"R7"	"C1"	"C13"
"347"	"R6"	"R8"	"C1"	"C13"
"348"	"R6"	"R10"	"C1"	"C13"
"349"	"R6"	"R11"	"C1"	"C13"
"350"	"R6"	"R12"	"C1"	"C13"
"351"	"R6"	"R13"	"C1"	"C13"
"352"	"R6"	"R14"	"C1"	"C13"
"353"	"R6"	"R15"	"C1"	"C13"
"354"	"R6"	"R7"	"C1"	"C14"
"355"	"R6"	"R8"	"C1"	"C14"
"356"	"R6"	"R10"	"C1"	"C14"
"357"	"R6"	"R11"	"C1"	"C14"
"358"	"R6"	"R12"	"C1"	"C14"
