"ID"	"Species"	"MDim"	"Degree"	"GC_Aff"	"Fiedler"	"Mod_Aff"	"m6"
"Herb_Bodner2009"	"Eupithecia_sobria"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Euphitecia_yangana"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Euphitecia_sp._2170"	2	1	1	-1	3	0
"Herb_Bodner2009"	"Psaliodes_inundulata"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Spargania_narangilla"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Alseis_blackiana"	1	2	1	-1	0	2
"Herb_Coley2006"	"Capparis_frondosa"	1	3	NA	NA	NA	NA
"Herb_Coley2006"	"Chrysophyllum_panamense"	1	1	1	-1	4	0
"Herb_Coley2006"	"Clytostoma_binatum"	1	1	1	-1	0	0
"Herb_Coley2006"	"Connarus_panamensis"	1	1	1	-1	7	0
"Herb_Coley2006"	"Cordia_bicolor"	1	1	1	1	1	0
"Herb_Coley2006"	"Cupania_rufescens"	1	1	1	-1	4	0
"Herb_Coley2006"	"Cupania_sylvatica"	1	2	1	-1	4	0
"Herb_Coley2006"	"Desmopsis_panamensis"	1	1	1	-1	7	0
"Herb_Coley2006"	"Doliocarpus_major"	1	2	1	-1	0	2
"Herb_Coley2006"	"Faramea_occidentalis"	1	1	NA	NA	NA	NA
"Herb_Coley2006"	"Garcinia_intermedia"	1	2	1	-1	4	0
"Herb_Coley2006"	"Guatteria_dumetorum"	1	1	NA	NA	NA	NA
"Herb_Coley2006"	"Gustavia_superba"	1	5	1	-1	6	1
"Herb_Coley2006"	"Heisteria_concinna"	1	4	1	1	6	0
"Herb_Coley2006"	"Hirtella_triandra"	1	3	NA	NA	NA	NA
"Herb_Coley2006"	"Hybanthus_prunifolius"	1	5	1	-1	5	0
"Herb_Coley2006"	"Inga_marginata"	1	4	1	-1	7	0
"Herb_Coley2006"	"Inga_vera"	1	1	NA	NA	NA	NA
"Herb_Coley2006"	"Lacistema_aggregatum"	1	2	1	-1	0	1
"Herb_Coley2006"	"Licania_platypus"	1	2	1	1	1	0
"Herb_Coley2006"	"Mouriri_myrtilloides"	1	2	1	-1	6	0
"Herb_Coley2006"	"Myrcia_fosteri"	1	1	1	-1	3	0
"Herb_Coley2006"	"Nectandra_cissiflora"	1	1	1	-1	3	0
"Herb_Coley2006"	"Ouratea_lucens"	1	6	1	-1	3	2
"Herb_Coley2006"	"Paullinia_bracteosa"	1	3	1	-1	3	1
"Herb_Coley2006"	"Paullinia_fibrigera"	1	1	1	-1	0	0
"Herb_Coley2006"	"Prioria_copaifera"	1	1	NA	NA	NA	NA
"Herb_Coley2006"	"Psychotria_horizontalis"	1	5	1	1	2	4
"Herb_Coley2006"	"Psychotria_limonensis"	1	2	1	1	2	2
"Herb_Coley2006"	"Psychotria_marginata"	1	4	1	1	2	4
"Herb_Coley2006"	"Pterocarpus_rohrii"	1	3	1	-1	0	2
"Herb_Coley2006"	"Sorocea_affinis"	1	2	NA	NA	NA	NA
"Herb_Coley2006"	"Swartzia_simplex"	1	1	1	-1	3	0
"Herb_Coley2006"	"Talisia_princeps"	1	1	NA	NA	NA	NA
"Herb_Coley2006"	"Tetragastris_panamensis"	1	1	1	1	1	0
"Herb_Coley2006"	"Trichilia_tuberculata"	1	4	1	-1	7	1
"Herb_Coley2006"	"Gymnelia_jansonis"	2	2	1	-1	7	0
"Herb_Coley2006"	"arct_unknown"	2	8	1	-1	3	3
"Herb_Coley2006"	"Quenyalia_amisena"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Trichaea_pilicornis"	2	3	1	1	2	4
"Herb_Coley2006"	"Scotura_nervosa"	2	1	1	-1	5	0
"Herb_Coley2006"	"gele_unknown"	2	2	1	-1	5	0
"Herb_Coley2006"	"Anisodes_urcearia"	2	1	1	-1	6	0
"Herb_Coley2006"	"Edula_antithesis"	2	1	1	-1	5	0
"Herb_Coley2006"	"geom_species_1"	2	2	1	1	2	2
"Herb_Coley2006"	"Drephalys_alcomon"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Entheus_sp."	2	1	1	-1	6	0
"Herb_Coley2006"	"hesp_unknown"	2	1	1	1	1	0
"Herb_Coley2006"	"Telemiades_antiope"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Udranomia_sp."	2	1	1	-1	3	0
"Herb_Coley2006"	"lima_unknown"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"lyca_unknown"	2	2	1	-1	7	0
"Herb_Coley2006"	"lyma_unknown"	2	1	1	1	6	0
"Herb_Coley2006"	"Tarchon_felderi"	2	3	1	-1	0	3
"Herb_Coley2006"	"Nagara_vitrea"	2	1	1	-1	4	0
"Herb_Coley2006"	"noct_unknown"	2	5	1	1	1	0
"Herb_Coley2006"	"Bardaxima_perses"	2	1	1	-1	3	0
"Herb_Coley2006"	"Calledema_plusia"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Elasmia_mandela"	2	1	1	-1	4	0
"Herb_Coley2006"	"Gonodonta_fulvangula"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"noto_unknown"	2	4	1	-1	6	1
"Herb_Coley2006"	"Strophocerus_sp."	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Zunacetha_annulata"	2	4	1	-1	3	1
"Herb_Coley2006"	"nymp_unknown"	2	1	1	-1	0	0
"Herb_Coley2006"	"Pyrrhogyra_otolatis"	2	1	1	-1	3	0
"Herb_Coley2006"	"oeco_unknown"	2	2	1	-1	7	0
"Herb_Coley2006"	"Homoeopteryx_malecena"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Itaballia_sp."	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Perrhybris_pyrrha"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"psyc_unknown"	2	1	1	-1	7	0
"Herb_Coley2006"	"Cosmopterosis_thetysalis"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Desmia_sp."	2	3	1	1	2	4
"Herb_Coley2006"	"Spilorula_perspicata"	2	1	1	-1	6	0
"Herb_Coley2006"	"satu_unknown"	2	1	1	-1	3	0
"Herb_Coley2006"	"Periphoba_arcaei"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"Xylophanes_amadis"	2	1	1	1	2	0
"Herb_Coley2006"	"Xylophanes_sp."	2	1	1	1	2	0
"Herb_Coley2006"	"thyr_unknown"	2	1	NA	NA	NA	NA
"Herb_Coley2006"	"tort_unknown"	2	5	1	-1	4	0
"Herb_Coley2006"	"ypon_unknown"	2	1	1	-1	5	0
"Herb_Coley2006"	"unkn_unknown"	2	7	1	-1	0	4
"Herb_CuevasReyes"	"Bignoniaceae_sp."	1	1	1	-1	NA	NA
"Herb_CuevasReyes"	"Ceiba_aesculifolia"	1	1	2	-1	NA	NA
"Herb_CuevasReyes"	"Ceiba_grandifolia"	1	1	3	-1	NA	NA
"Herb_CuevasReyes"	"Cordia_alliodora"	1	1	4	-1	NA	NA
"Herb_CuevasReyes"	"Bursera_excelsa"	1	1	5	-1	NA	NA
"Herb_CuevasReyes"	"Bursera_instabilis"	1	1	6	-1	NA	NA
"Herb_CuevasReyes"	"Croton_alamosanus"	1	1	7	-1	NA	NA
"Herb_CuevasReyes"	"Croton_pseudoniveus"	1	1	8	-1	NA	NA
"Herb_CuevasReyes"	"Croton_suberosus"	1	1	9	-1	NA	NA
"Herb_CuevasReyes"	"Jatropha_malacophylla"	1	1	10	-1	NA	NA
