"ID"	"IntType"	"NRow"	"NCol"	"NLinks"	"Connectance"	"NComp"	"LargeCompSize"	"nLargeComp"	"SA_NMod"	"SA_Modularity"	"FG_NMod"	"FG_Modularity"	"FG_PNull"	"MS_congr"	"MS_mean"	"MS_sd"	"MS_pval"	"n_m6"	"n_m6_mod"	"mean_m6_mod"	"sd_m6_mod"	"p_m6_mod"	"n_m6_sect"	"mean_m6_sect"	"sd_m6_sect"	"p_m6_sect"	"n_m6_ms"	"mean_m6_ms"	"sd_m6_ms"	"p_m6_ms"	"LinkSct"	"LinkMod"	"LinkMot"
"195"	"M_PL_026"	"Pollination"	105	54	204	0.036	4	150	1	8	0.563004	9	0.554229	0.823	0.832575464396285	0.632069657010777	0.0311233108140826	0	143	22	0.134	0.781	0	72	8.891	9.805	0.001	21	0.08	0.50612411142092	0	0.8889	0.7626	0.4293
"196"	"M_PL_027"	"Pollination"	18	60	120	0.1111	2	75	1	6	0.556162	8	0.528404	0.06	0.898268398268398	0.611440484953643	0.0360274848261014	0	86	61	0.527	1.204	0	75	9.828	6.021	0	61	0.51	0.915577865767204	0	0.8814	0.7627	0.6525
"197"	"M_PL_028"	"Pollination"	41	139	374	0.0656	1	180	1	8	0.477759	7	0.461301	0.154	0.916942970822281	0.877830086293017	0.0223111441193493	0.001	1055	183	3.429	4.055	0	934	605.506	155.497	0.015	147	1.81	2.20511343302907	0	0.9171	0.6471	0.762
"198"	"M_PL_029"	"Pollination"	49	118	346	0.0598	1	167	1	7	0.481648	8	0.468801	0.09	0.976121761836047	0.772447929980073	0.0137638831489166	0	921	181	2.644	3.612	0	772	405.534	185.896	0.004	170	2.63	4.04683440319328	0	0.9277	0.6445	0.7688
"199"	"M_PL_030"	"Pollination"	28	53	109	0.0735	5	70	1	8	0.558769	8	0.54578	0.225	0.859722222222222	0.691523363095238	0.0228275695891342	0	23	6	0.038	0.196	0	18	4.442	3.199	0	4	0.03	0.171446607997765	0	0.8911	0.6832	0.505
"200"	"M_PL_031"	"Pollination"	48	49	156	0.0663	3	91	1	8	0.595092	8	0.573883	0.006	0.84210927960928	0.695246071910546	0.0213598852568426	0	259	143	0.596	1.37	0	230	52.46	34.515	0	124	0.6	1.76383420737639	0	0.9013	0.7697	0.6184
"201"	"M_PL_032"	"Pollination"	7	33	65	0.2814	1	40	1	5	0.35716	5	0.329349	0.743	0.866666666666667	0.633508333333333	0.050909276047973	0	159	0	0.126	0.496	1	14	13.775	10.524	0.4	0	0.07	0.355476632654857	1	0.6923	0.5385	0.7077
"202"	"M_PL_033"	"Pollination"	13	34	141	0.319	1	47	1	5	0.266435	4	0.238997	0.77	0.909090909090909	0.874477950937951	0.0235674290604682	0.004	897	126	8.968	6.925	0	817	497.29	121.205	0.003	124	6.53	6.18642208241712	0	0.9362	0.5035	0.9433
"203"	"M_PL_034"	"Pollination"	26	128	312	0.0938	2	151	1	8	0.443319	8	0.420645	0.427	0.924968671679198	0.84304013578749	0.0100259120187419	0	1498	141	3.344	6.496	0	611	317.084	150.585	0.04	44	0.3	0.674199862463242	0	0.8516	0.5871	0.7903
"204"	"M_PL_035"	"Pollination"	61	36	178	0.0811	1	97	1	6	0.481221	8	0.483651	0.162	0.994623655913978	0.886024887992832	0.0127874539757115	0	303	60	1.378	2.396	0	277	186.35	52.295	0.014	54	1.06	1.48269478935614	0	0.9607	0.6854	0.764
"205"	"M_PL_036"	"Pollination"	10	12	30	0.25	1	22	1	4	0.444444	4	0.419444	0.312	0.775	0.698460416666667	0.0547679753506185	0.122	12	6	0.175	0.45	0	6	1.897	1.784	0.047	5	0.16	0.486587789373795	0	0.8	0.7333	0.7667
"206"	"M_PL_037"	"Pollination"	10	40	72	0.18	1	50	1	5	0.501157	6	0.479167	0.242	1	0.762534797979798	0.0117741142591198	0	53	6	0.232	0.566	0.001	42	18.404	9.963	0.009	6	0.29	0.756053015083044	0	0.9306	0.6944	0.625
"207"	"M_PL_038"	"Pollination"	8	42	79	0.2351	1	50	1	4	0.439994	6	0.408108	0.389	0.836111111111111	0.642977777777778	0.0335598990221653	0	95	40	0.857	1.687	0	68	14.013	11.511	0	31	0.58	1.79325334957378	0	0.8481	0.7215	0.6962
"208"	"M_PL_039"	"Pollination"	17	51	129	0.1488	1	68	1	6	0.461451	6	0.46085	0.023	0.988888888888889	0.926594722222222	0.0205371240621858	0	319	175	9.205	11.288	0	306	238.288	51.855	0.053	169	8.2	8.15506287560375	0	0.9767	0.7752	0.7829
"209"	"M_PL_040"	"Pollination"	29	43	114	0.0914	2	70	1	6	0.54554	6	0.53438	0.076	0.909259259259259	0.636148182957394	0.0317567738085357	0	99	44	0.406	1.072	0	85	12.207	9.386	0	44	0.25	0.609271795844942	0	0.9115	0.7257	0.6991
"210"	"M_PL_041"	"Pollination"	31	43	145	0.1088	3	70	1	5	0.406524	6	0.398137	0.567	0.935555555555556	0.827959731379731	0.00888285693571118	0	411	59	2.713	3.706	0	371	182.433	77.996	0.003	53	2.25	2.72798812166021	0	0.9231	0.6154	0.7762
"211"	"M_PL_042"	"Pollination"	12	6	25	0.3472	2	16	1	3	0.3125	3	0.288194	0.309	1	0.814126984126984	0.032996106801435	0.007	35	10	0.59	1.3	0.001	30	8.755	9.057	0.064	10	0.45	1.07661084384791	0	0.9167	0.7083	0.7083
"212"	"M_PL_043"	"Pollination"	28	82	250	0.1089	1	110	1	7	0.404208	8	0.391816	0.544	0.911544011544012	0.85634399255715	0.0221152684352036	0	751	93	3.394	3.585	0	488	349.099	106.122	0.091	54	2.03	3.12194901568966	0	0.864	0.58	0.828
"213"	"M_PL_044"	"Pollination"	110	609	1125	0.0168	4	712	1	13	0.619743	19	0.619361	0	0.916821273166541	0.901613928567682	0.00665150865508884	0.003	1651	513	1.924	3.083	0	1483	800.336	235.59	0	510	1.46	2.44296557652391	0	0.9652	0.7324	0.5254
"214"	"M_PL_045"	"Pollination"	17	26	63	0.1425	2	41	1	5	0.456035	6	0.441597	0.483	0.798888888888889	0.631350555555556	0.0448714102240227	0.001	56	8	0.276	0.79	0.001	6	6.773	5.346	0.478	1	0.06	0.342893215995531	0.04	0.7258	0.6613	0.6774
"215"	"M_PL_046"	"Pollination"	16	44	278	0.3949	1	60	1	3	0.216798	3	0.189088	0.272	0.856666666666667	0.850298888888889	0.00984855721740244	0.276	6329	858	206.386	60.018	0	3536	3417.868	645.92	0.425	473	127.59	55.2017594142093	0	0.7914	0.5432	0.9748
"216"	"M_PL_047"	"Pollination"	19	186	425	0.1203	1	205	1	7	0.419006	6	0.41076	0.28	0.860272080860316	0.630122998150309	0.0104200952768612	0	3245	216	10.696	11.932	0	1751	609.883	239.645	0	182	8.44	10.0486895472077	0	0.8259	0.5647	0.7553
"217"	"M_PL_048"	"Pollination"	30	236	671	0.0948	1	266	1	6	0.384323	8	0.376496	0.35	0.946793516560958	0.729752107983136	0.015332009156129	0	8621	1043	55.427	33.626	0	6219	2895.715	862.709	0	879	44.81	28.7070522430438	0	0.8644	0.5842	0.8271
"218"	"M_PL_049"	"Pollination"	37	225	590	0.0709	1	262	1	7	0.446639	8	0.421442	0.306	0.929256735071457	0.926133818774893	0.00818159018345154	0.383	3887	736	16.531	17.03	0	2191	2290.857	474.536	0.582	425	9.12	11.4858542775385	0	0.8729	0.6356	0.778
"219"	"M_PL_050"	"Pollination"	14	35	86	0.1755	1	49	1	4	0.426176	5	0.4255	0.242	1	0.643446103238866	0.0355673022262871	0	138	31	2.453	2.937	0	96	24.108	14.618	0	31	2.98	3.04172997028356	0	0.8837	0.686	0.7674
"220"	"M_PL_051"	"Pollination"	14	90	164	0.1302	1	104	1	6	0.490965	7	0.485332	0.206	0.885970209339775	0.626155678609108	0.0266945430511553	0	325	22	0.81	1.81	0	166	39.21	24.632	0.002	19	0.52	1.07759552765039	0	0.872	0.6707	0.6402
"221"	"M_PL_052"	"Pollination"	15	39	92	0.1573	2	52	1	6	0.408646	6	0.397235	0.601	0.873015873015873	0.645242328042328	0.0390514273764032	0	135	9	0.634	1.238	0.004	49	18.482	11.929	0.029	4	0.31	0.761378335452861	0.01	0.7912	0.5824	0.7912
"222"	"M_PL_053"	"Pollination"	99	294	589	0.0202	8	364	1	10	0.634205	11	0.642327	0	0.941106821106821	0.725678370840344	0.00914807711331406	0	412	119	0.694	1.373	0	383	148.036	48.647	0	112	0.7	1.38898989531707	0	0.9559	0.7513	0.5626
"223"	"M_PL_054"	"Pollination"	113	318	773	0.0215	8	414	1	9	0.546585	11	0.541841	0.019	0.937165000724323	0.92751667437853	0.00470624305055379	0.015	1640	307	4.415	5.677	0	1100	1293.473	186.016	0.849	249	4.79	6.30102605080548	0	0.9436	0.6815	0.6684
"224"	"M_PL_055"	"Pollination"	64	195	431	0.0345	3	253	1	11	0.561353	11	0.54207	0.258	0.985449002217295	0.968315519828196	0.0110509878655896	0	564	159	0.799	1.54	0	415	481.572	64.867	0.846	123	0.86	1.79235187742956	0	0.9461	0.6979	0.6019
"225"	"M_PL_056"	"Pollination"	91	365	871	0.0262	1	456	1	9	0.548026	11	0.532003	0.005	0.932415699281371	0.934490152839217	0.0044694146325134	0.689	2173	579	5.549	5.715	0	1975	1623.478	241.391	0.055	482	3.38	3.45177453996455	0	0.9529	0.6843	0.6705
"226"	"M_PL_057"	"Pollination"	114	883	1920	0.0191	1	997	1	11	0.544604	12	0.539805	0	0.988235736610176	0.952287061253611	0.0092763149351119	0	14421	1890	44.919	31.955	0	13598	10804.287	1599.241	0.013	1757	29.33	21.8526077310344	0	0.9755	0.6854	0.663
"227"	"M_PL_058"	"Pollination"	32	81	319	0.1231	2	111	1	6	0.341403	7	0.306624	0.959	0.890001271294177	0.815414606110687	0.0238923003990668	0	2692	279	17.773	12.852	0	1481	1254.147	355.747	0.266	174	13.32	12.4809997009596	0	0.8019	0.5409	0.8616
"228"	"M_PL_059"	"Pollination"	13	13	71	0.4201	1	26	1	3	0.230113	5	0.169014	0.957	0.861111111111111	0.823538888888889	0.0325221197755381	0.027	461	67	19.238	10.379	0.001	328	177.447	85.375	0.067	58	7.47	7.79465628919368	0	0.8732	0.5775	0.9437
"229"	"M_PL_060_01"	"Pollination"	11	39	95	0.2214	1	50	1	6	0.359114	7	0.329529	0.879	0.865277777777778	0.750175320512821	0.0227452875941172	0	272	22	1.197	2.073	0	142	61.843	33.496	0.026	18	0.92	1.54841071992406	0	0.8316	0.5684	0.7789
"230"	"M_PL_060_02"	"Pollination"	12	38	107	0.2346	1	50	1	5	0.336623	6	0.315399	0.783	0.981818181818182	0.918420454545455	0.0229924479481606	0	402	44	3.491	3.666	0	321	242.684	70.228	0.146	38	2.38	3.20599186499028	0	0.9065	0.5794	0.8131
"231"	"M_PL_060_03"	"Pollination"	13	45	130	0.2222	1	58	1	5	0.340296	6	0.332663	0.508	0.924444444444444	0.793806587301587	0.013741769398159	0	622	59	4.518	4.513	0	402	267.149	94.346	0.09	56	2.96	3.31180929524645	0	0.8538	0.5538	0.8231
"232"	"M_PL_060_04"	"Pollination"	21	46	134	0.1387	1	67	1	6	0.399421	7	0.371241	0.851	0.905820105820106	0.762857753357753	0.0105703619936464	0	291	25	1.1	1.771	0	79	89.056	42.689	0.539	8	0.57	1.11241842284041	0	0.791	0.5672	0.8284
"233"	"M_PL_060_05"	"Pollination"	33	54	144	0.0808	2	85	1	6	0.491418	9	0.474815	0.55	0.911764705882353	0.810687552371376	0.0100176228270747	0	170	26	0.717	1.222	0	92	71.023	30.036	0.265	17	0.5	1.02985730108887	0	0.8881	0.6713	0.6993
"234"	"M_PL_060_06"	"Pollination"	26	45	96	0.0821	2	69	1	6	0.566205	8	0.550194	0.284	0.910582010582011	0.65006164021164	0.0264967809409731	0	43	7	0.168	0.551	0	10	7.382	6.395	0.277	4	0.12	0.356186309210063	0	0.8316	0.7368	0.4842
"235"	"M_PL_060_07"	"Pollination"	29	39	108	0.0955	1	68	1	7	0.459448	7	0.457776	0.704	0.857467532467532	0.628032351576994	0.0410619130759474	0	123	19	0.398	1.287	0	57	13.295	10.168	0.005	6	0.16	0.506921785850339	0	0.8241	0.6481	0.6944
"236"	"M_PL_060_08"	"Pollination"	19	28	72	0.1353	1	47	1	5	0.51331	5	0.501254	0.139	1	0.634730714285714	0.0407125036363535	0	70	23	0.435	0.949	0	54	8.735	6.087	0	23	0.41	0.911154224158578	0	0.9167	0.7361	0.7222
"237"	"M_PL_060_09"	"Pollination"	18	40	78	0.1083	2	56	1	6	0.522179	7	0.512228	0.413	0.893518518518518	0.771477861952862	0.014891682977089	0	45	3	0.114	0.386	0.006	31	16.555	9.684	0.109	2	0.06	0.342893215995531	0.01	0.8961	0.7013	0.5714
"238"	"M_PL_060_10"	"Pollination"	14	25	51	0.1457	3	35	1	5	0.483965	5	0.476676	0.291	0.977777777777778	0.648696666666667	0.0546375162809021	0	23	8	0.263	0.8	0.001	19	2.354	2.391	0	7	0.13	0.393251147037697	0	0.898	0.7347	0.6327
"239"	"M_PL_060_11"	"Pollination"	14	20	43	0.1536	1	34	1	5	0.547864	5	0.538399	0.162	0.942857142857143	0.646313095238095	0.0505832055997836	0	10	4	0.025	0.156	0	8	1.009	1.18	0	4	0.07	0.355476632654857	0	0.907	0.7442	0.5581
"240"	"M_PL_060_12"	"Pollination"	11	26	60	0.2098	2	35	1	4	0.399885	5	0.372163	0.504	0.86875	0.648589583333333	0.0454428660794521	0	81	11	0.945	1.519	0.001	24	9.048	6.23	0.037	9	0.77	1.27805881845647	0	0.7966	0.661	0.7627
"241"	"M_PL_060_13"	"Pollination"	7	31	48	0.2212	2	36	1	5	0.449072	5	0.431417	0.373	0.875	0.650520952380952	0.0530927209209753	0	22	0	0.124	0.549	1	4	2.629	2.775	0.259	0	0.32	1.00383104538402	1	0.8085	0.6596	0.5532
"242"	"M_PL_060_14"	"Pollination"	11	37	99	0.2432	1	48	1	5	0.335782	6	0.30752	0.859	0.986666666666667	0.878994458874459	0.0285785633751133	0	346	50	4.958	4.96	0	202	213.312	59.922	0.555	37	4.07	4.25275905688996	0	0.8687	0.596	0.798
"243"	"M_PL_060_15"	"Pollination"	14	37	131	0.2529	1	51	1	5	0.319678	5	0.298788	0.498	0.884615384615385	0.69955452991453	0.0236687581402502	0	507	53	3.543	3.454	0	123	126.703	56.226	0.475	30	3.06	3.95126881552309	0	0.687	0.5267	0.9237
"244"	"M_PL_060_16"	"Pollination"	17	39	114	0.1719	1	56	1	6	0.375115	6	0.364343	0.612	0.848484848484849	0.822382365319865	0.0116585127299792	0.006	296	22	1.128	1.724	0	233	131.285	49.043	0.019	7	0.3	0.594588390010563	0	0.8947	0.5614	0.8158
"245"	"M_PL_060_17"	"Pollination"	17	35	100	0.1681	1	52	1	4	0.4016	5	0.3941	0.423	0.854166666666667	0.679220833333333	0.0190398079572614	0	173	45	2.867	3.249	0	90	36.857	18.75	0.01	36	2.28	2.48258581387076	0	0.82	0.67	0.79
"246"	"M_PL_060_18"	"Pollination"	20	28	75	0.1339	1	48	1	7	0.460444	6	0.453422	0.455	0.936507936507937	0.749114538239538	0.025954791270447	0	89	8	0.233	0.635	0	60	24.113	15.073	0.024	8	0.08	0.272659924344291	0	0.88	0.6267	0.6667
"247"	"M_PL_060_19"	"Pollination"	18	13	41	0.1752	1	31	1	6	0.449732	5	0.433968	0.603	0.827777777777778	0.674994841269841	0.0523804119613047	0.006	12	0	0.008	0.118	1	6	1.307	1.632	0.037	0	0	0	1	0.8293	0.6098	0.5854
"248"	"M_PL_060_20"	"Pollination"	12	18	37	0.1713	1	30	1	5	0.493061	6	0.475895	0.446	0.95	0.707184285714286	0.0423982332128041	0	10	1	0.041	0.213	0.039	9	1.9	2.207	0.028	1	0.04	0.196946385566932	0.04	0.8919	0.7027	0.4054
"249"	"M_PL_060_21"	"Pollination"	6	22	32	0.2424	1	28	1	4	0.490234	4	0.483887	0.245	1	0.728282061688312	0.059859481898451	0	6	1	0.054	0.226	0.054	4	0.732	1.049	0.023	1	0.02	0.14070529413629	0.02	0.9062	0.7812	0.4375
"250"	"M_PL_060_22"	"Pollination"	13	31	64	0.1588	1	44	1	5	0.463867	6	0.453735	0.449	0.865909090909091	0.648961363636364	0.0451719926473518	0	47	7	0.33	0.78	0	11	4.553	3.883	0.064	3	0.09	0.378593889720018	0.01	0.7812	0.6875	0.5781
"251"	"M_PL_060_23"	"Pollination"	12	27	57	0.1759	1	39	1	5	0.460142	6	0.445522	0.418	0.966666666666667	0.671057142857143	0.0590673505394101	0	34	12	0.451	0.929	0	13	4.39	3.389	0.032	12	0.43	0.94553709818304	0	0.807	0.7193	0.6842
"252"	"M_PL_060_24"	"Pollination"	14	24	46	0.1369	2	36	1	5	0.551605	6	0.530617	0.255	0.914285714285714	0.650114718614719	0.050184425184541	0	8	5	0.054	0.247	0	8	1.049	1.202	0	5	0.03	0.171446607997765	0	0.9333	0.7778	0.4667
"253"	"M_PL_061_01"	"Pollination"	5	12	17	0.2833	1	17	1	3	0.529412	3	0.524221	0.106	1	0.683357142857143	0.0593445994312711	0	1	1	0.012	0.109	0.012	1	0.147	0.354	0.147	1	0.02	0.14070529413629	0.02	0.9412	0.8824	0.2353
"254"	"M_PL_061_02"	"Pollination"	5	17	27	0.3176	1	22	1	4	0.390947	4	0.371056	0.498	0.804166666666667	0.6862	0.0497855511278232	0.037	12	0	0.023	0.15	1	0	0.333	0.849	1	0	0.01	0.1	1	0.7407	0.6667	0.5185
"255"	"M_PL_061_03"	"Pollination"	6	14	24	0.2857	1	20	1	5	0.451389	5	0.415799	0.372	0.933333333333333	0.776026666666667	0.0404648685078939	0.004	5	0	0.004	0.063	1	1	1.669	1.394	0.752	0	0.02	0.14070529413629	1	0.8333	0.625	0.5833
"256"	"M_PL_061_04"	"Pollination"	8	14	29	0.2589	2	20	1	5	0.369898	4	0.352679	0.453	0.95	0.684145238095238	0.0783722658065247	0	23	1	0.037	0.189	0.037	10	1.803	2.71	0.042	1	0.02	0.14070529413629	0.02	0.8214	0.5714	0.7143
"257"	"M_PL_061_05"	"Pollination"	12	22	51	0.1932	1	34	1	5	0.430604	6	0.381968	0.784	0.955555555555556	0.804122222222222	0.0230338761031926	0	48	5	0.308	0.81	0.01	33	15.279	9.569	0.056	5	0.24	0.605029425780768	0	0.8824	0.6471	0.6667
"258"	"M_PL_061_06"	"Pollination"	11	24	58	0.2197	1	35	1	6	0.387634	5	0.360731	0.686	0.854497354497355	0.674206349206349	0.0507441904266773	0.001	91	9	0.459	1.014	0	18	9.495	6.035	0.086	0	0.05	0.21904291355759	1	0.7241	0.5862	0.7414
"259"	"M_PL_061_07"	"Pollination"	9	23	62	0.2995	2	30	1	5	0.294276	4	0.276539	0.621	0.96	0.71032126984127	0.0416022282399067	0	170	7	0.867	1.214	0.001	81	37.206	20.752	0.032	7	1.34	1.62194545861045	0	0.7869	0.4918	0.8361
"260"	"M_PL_061_08"	"Pollination"	6	19	35	0.307	1	25	1	4	0.401633	4	0.385714	0.322	0.96875	0.844857638888889	0.0284641335056732	0.001	29	5	0.326	0.85	0.008	12	14.141	7.282	0.551	1	0.09	0.378593889720018	0.07	0.8286	0.6857	0.7143
"261"	"M_PL_061_09"	"Pollination"	6	10	15	0.25	1	16	1	3	0.52	3	0.517778	0.236	1	0.654535714285714	0.0704228727615689	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0.9333	0.8667	0
"262"	"M_PL_061_10"	"Pollination"	5	14	20	0.2857	1	19	1	5	0.51	5	0.48875	0.194	0.933333333333333	0.74642	0.0549148767469488	0.002	2	0	0	0	1	1	0.286	0.526	0.25	0	0	0	1	0.9	0.7	0.35
"263"	"M_PL_061_11"	"Pollination"	6	12	17	0.2361	2	16	1	3	0.496094	3	0.490234	0.171	1	0.672603174603175	0.0733128131402401	0	1	1	0.029	0.168	0.029	1	0.098	0.297	0.098	1	0.04	0.196946385566932	0.04	0.9375	0.875	0.25
"264"	"M_PL_061_12"	"Pollination"	7	12	24	0.2857	1	19	1	4	0.411458	4	0.384549	0.441	0.958333333333333	0.752225	0.0382701483800992	0	13	1	0.09	0.297	0.088	2	3.842	4.129	0.461	0	0.02	0.14070529413629	1	0.7917	0.6667	0.625
"265"	"M_PL_061_13"	"Pollination"	7	19	39	0.2932	1	26	1	4	0.384615	4	0.366535	0.375	0.964285714285714	0.662492207792208	0.0557039652885006	0	45	9	0.28	0.791	0.001	24	5.314	7.131	0.042	9	0.13	0.48523658709391	0	0.8462	0.6667	0.641
"266"	"M_PL_061_14"	"Pollination"	6	11	18	0.2727	2	15	1	4	0.415225	4	0.389273	0.35	1	0.820095833333333	0.0370591629511782	0.007	4	1	0.027	0.162	0.027	4	1.499	1.291	0.087	1	0	0	0	0.9412	0.7059	0.5294
"267"	"M_PL_061_15"	"Pollination"	6	18	33	0.3056	1	24	1	4	0.412305	3	0.39348	0.304	0.958333333333333	0.642114583333333	0.0676857115837694	0	17	5	0.173	0.525	0.001	16	1.88	2.277	0.003	5	0.2	0.53181602347831	0	0.8788	0.697	0.6061
"268"	"M_PL_061_16"	"Pollination"	8	19	41	0.2697	1	27	1	4	0.417014	3	0.405711	0.183	0.892857142857143	0.652869047619048	0.0794572778850089	0.001	39	14	0.509	1.322	0.001	21	3.277	3.481	0.003	13	0.41	0.964993327029841	0	0.8293	0.7317	0.8049
"269"	"M_PL_061_17"	"Pollination"	9	13	19	0.1624	4	12	1	4	0.444444	4	0.416667	0.23	1	0.80175	0.0556405131179913	0.035	1	0	0	0	1	0	0.282	0.45	1	0	0	0	1	0.8333	0.6667	0.3333
"270"	"M_PL_061_18"	"Pollination"	11	18	35	0.1768	1	29	1	5	0.560816	5	0.541633	0.14	0.971428571428571	0.666413333333333	0.0501972461620397	0	13	4	0.039	0.236	0	2	1.844	2.812	0.288	1	0.01	0.1	0.01	0.8571	0.7714	0.4571
"271"	"M_PL_061_19"	"Pollination"	11	21	44	0.1905	1	32	1	5	0.470558	5	0.450155	0.353	0.95	0.75872619047619	0.0280977137266372	0	29	5	0.093	0.472	0.003	24	9.769	7.316	0.031	5	0.09	0.287623491264661	0	0.9091	0.6818	0.6364
"272"	"M_PL_061_20"	"Pollination"	11	14	25	0.1623	3	19	1	4	0.482993	4	0.461451	0.333	1	0.717466666666667	0.0536619111831002	0.001	4	0	0.011	0.104	1	4	0.717	1.224	0.05	0	0	0	1	0.9524	0.7143	0.4286
"273"	"M_PL_061_21"	"Pollination"	11	18	43	0.2172	1	29	1	6	0.442401	5	0.419416	0.366	0.948412698412698	0.782610317460318	0.0286625900435307	0	39	4	0.115	0.39	0.001	20	10.457	6.835	0.115	2	0.04	0.196946385566932	0	0.814	0.6279	0.7209
"274"	"M_PL_061_22"	"Pollination"	10	18	28	0.1556	3	16	1	4	0.41358	4	0.401235	0.393	1	0.7154375	0.0652470183690024	0	6	0	0.071	0.257	1	3	0.861	1.397	0.197	0	0.1	0.301511344577764	1	0.8889	0.6667	0.4444
"275"	"M_PL_061_23"	"Pollination"	10	26	45	0.1731	2	34	1	5	0.532025	5	0.521436	0.107	0.96	0.647984285714286	0.0510395614274678	0	16	3	0.037	0.244	0.004	16	1.795	2.393	0	3	0.05	0.21904291355759	0	0.9318	0.7273	0.5
"276"	"M_PL_061_24"	"Pollination"	11	18	46	0.2323	1	29	1	4	0.461248	4	0.450614	0.077	0.96875	0.696052083333333	0.0407447678585584	0	46	16	0.517	1.099	0	33	9.357	8.517	0.003	14	0.61	1.03372426622667	0	0.8478	0.7391	0.7826
"277"	"M_PL_061_25"	"Pollination"	5	11	21	0.3818	1	16	1	4	0.369615	4	0.352608	0.277	1	0.778545833333333	0.0431349567754948	0.002	12	1	0.062	0.287	0.054	4	3.718	2.995	0.462	1	0.12	0.32659863237109	0.12	0.8095	0.619	0.6667
"278"	"M_PL_061_26"	"Pollination"	7	13	28	0.3077	1	20	1	5	0.352041	4	0.339286	0.602	0.95	0.696266666666667	0.068493131676575	0	15	0	0.041	0.24	1	6	1.581	1.761	0.039	0	0.01	0.1	1	0.7857	0.5357	0.7143
"279"	"M_PL_061_27"	"Pollination"	6	13	21	0.2692	1	19	1	4	0.46712	4	0.447846	0.33	0.8875	0.662320833333333	0.068950842240897	0.004	2	0	0.009	0.094	1	0	0.26	0.524	1	0	0	0	1	0.8571	0.7143	0.3333
"280"	"M_PL_061_28"	"Pollination"	8	19	36	0.2368	1	27	1	4	0.474537	4	0.462577	0.147	0.958333333333333	0.720369841269841	0.0328954745869812	0	20	4	0.122	0.44	0.001	6	4.014	3.184	0.298	1	0.12	0.432983541805861	0.09	0.8056	0.7222	0.6111
"281"	"M_PL_061_29"	"Pollination"	8	18	39	0.2708	1	26	1	4	0.409599	4	0.362262	0.555	1	0.743584821428571	0.0292316662580002	0	44	7	0.42	0.917	0.002	37	13.907	10.337	0.033	7	0.44	0.967345634071698	0	0.9231	0.6667	0.7436
"282"	"M_PL_061_30"	"Pollination"	7	13	30	0.3297	1	20	1	4	0.375556	5	0.322778	0.538	0.9375	0.7256125	0.0439120924759413	0.002	22	3	0.147	0.438	0.011	14	5.541	5.003	0.092	3	0.14	0.42687494916219	0.01	0.8667	0.6333	0.8333
"283"	"M_PL_061_31"	"Pollination"	5	19	35	0.3684	1	24	1	5	0.368163	4	0.342449	0.297	1	0.68608	0.0578288663020276	0	37	0	0	0	1	8	4.239	3.235	0.156	0	0	0	1	0.8	0.5429	0.6857
"284"	"M_PL_061_32"	"Pollination"	6	18	28	0.2593	2	22	1	4	0.462277	4	0.444444	0.145	0.892857142857143	0.67047380952381	0.062854847906703	0.008	11	3	0.078	0.29	0.002	2	0.891	1.051	0.161	0	0	0	1	0.8148	0.7407	0.5556
"285"	"M_PL_061_33"	"Pollination"	2	6	6	0.5	2	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"286"	"M_PL_061_34"	"Pollination"	3	7	9	0.4286	1	10	1	3	0.407407	3	0.388889	0.255	1	0.702311111111111	0.108323806864204	0.013	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8889	0.7778	0
"287"	"M_PL_061_35"	"Pollination"	9	13	19	0.1624	4	16	1	4	0.503906	4	0.482422	0.249	0.875	0.690929166666667	0.0754631169895319	0.021	1	0	0.001	0.032	1	0	0.089	0.285	1	0	0	0	1	0.875	0.75	0.25
"288"	"M_PL_061_36"	"Pollination"	7	17	31	0.2605	1	24	1	5	0.443288	5	0.432362	0.281	0.96	0.74535	0.042874028840496	0	10	1	0.025	0.156	0.025	1	2.355	2.333	0.727	0	0	0	1	0.8065	0.6452	0.5161
"289"	"M_PL_061_37"	"Pollination"	11	19	43	0.2057	1	30	1	4	0.445105	4	0.424283	0.424	1	0.637293650793651	0.0501201504107582	0	28	2	0.3	0.677	0.035	11	2.995	2.731	0.022	2	0.31	0.691872003109584	0.05	0.814	0.6744	0.6977
"290"	"M_PL_061_38"	"Pollination"	10	23	49	0.213	1	33	1	6	0.446897	5	0.422116	0.402	0.928571428571429	0.802618849206349	0.024188480127505	0	35	5	0.093	0.358	0	21	13.168	7.151	0.17	4	0.07	0.355476632654857	0	0.8776	0.6327	0.7347
"291"	"M_PL_061_39"	"Pollination"	7	23	46	0.2857	1	30	1	5	0.387524	5	0.362713	0.478	0.835	0.67357	0.0524915275112133	0.005	60	2	0.312	0.768	0.045	15	9.437	7.674	0.215	2	0.38	0.788554488807325	0.07	0.7826	0.587	0.7174
"292"	"M_PL_061_40"	"Pollination"	9	26	58	0.2479	2	33	1	5	0.366882	4	0.33795	0.529	0.874285714285714	0.65353	0.0534832948511426	0	95	7	0.566	0.94	0.001	34	9.951	5.274	0	4	0.48	0.893070970066633	0	0.7719	0.5789	0.7719
