"ID" "NRow" "NCol" "NLinks" "Connectance" "NComp" "LargeCompSize" "nLargeComp" "SA_NMod" "SA_Modularity" "FG_NMod" "FG_Modularity" "FG_PNull" "MS_congr" "MS_mean" "MS_sd" "MS_pval" "n_m6" "n_m6_mod" "mean_m6_mod" "sd_m6_mod" "p_m6_mod" "n_m6_sect" "mean_m6_sect" "sd_m6_sect" "p_m6_sect" "n_m6_ms" "mean_m6_ms" "sd_m6_ms" "p_m6_ms"
"50" "A_HP_020" 16 17 105 0.386 2 31 1 3 0.206084 4 0.16323 0.94 0.891774891774892 0.745816183816184 0.0202857462486986 0.001 934 100 34.859 16.29 0.005 363 276.387 109.828 0.207 53 26.88 16.7833972795267 0.09
"51" "A_HP_021" 9 15 57 0.4222 1 24 1 5 0.227147 3 0.188673 0.97 1 0.917633333333333 0.0264635869175676 0.007 222 10 1.207 1.63 0.001 185 148.702 45.993 0.286 10 1.06 1.25384257868411 0
"52" "A_HP_022" 16 18 68 0.2361 1 34 1 5 0.32872 4 0.312824 0.82 0.95 0.735586666666667 0.0334317073574565 0 175 20 1.546 2.314 0 130 42.527 25.212 0.003 15 1.38 1.96833519359469 0
"53" "A_HP_023" 9 8 41 0.5694 1 17 1 3 0.22903 3 0.198394 0.17 1 0.656150793650794 0.072530257494792 0 93 14 2.255 2.108 0 41 9.872 5.359 0 14 2.34 2.54344076185999 0.01
"54" "A_HP_024" 7 20 39 0.2786 2 25 1 4 0.350416 5 0.326524 0.51 1 0.803073015873016 0.0288499910963483 0 54 1 0.258 0.735 0.172 29 14.865 12.677 0.174 1 0.17 0.513553671720273 0.13
"55" "A_HP_025" 18 40 107 0.1486 4 52 1 6 0.401072 6 0.384985 0.21 0.925925925925926 0.923389092389092 0.0137469827449777 0.581 249 20 1.043 1.865 0.001 157 163.706 50.808 0.542 17 0.68 1.45560567420846 0
"56" "A_HP_026" 15 18 142 0.5259 1 33 1 4 0.167873 5 0.09455 1 0.9375 0.939443181818182 0.00927523976900313 0.661 2341 89 30.314 14.009 0.005 2135 1806.386 245.857 0.129 86 26.91 14.220553484803 0.01
"57" "A_HP_027" 17 30 108 0.2118 3 43 1 5 0.308028 5 0.272294 0.84 0.886713286713287 0.662828531468531 0.0575844240219724 0 626 64 6.635 6.399 0 114 71.467 41.485 0.124 18 1.88 3.16636362186319 0.01
"58" "A_HP_028" 4 15 19 0.3167 2 16 1 3 0.380623 3 0.358131 0.67 1 0.820872222222222 0.0373625795581639 0.005 3 0 0 0 1 3 0.696 1.166 0.191 0 0 0 1
"59" "A_HP_029" 15 34 79 0.1549 1 49 1 5 0.476046 5 0.473882 0.01 0.883333333333333 0.80370119047619 0.0257481839481873 0.001 73 23 0.722 1.336 0 72 28.302 14.693 0.002 23 0.48 0.979383438287538 0
"60" "A_HP_030" 14 15 51 0.2429 2 27 1 5 0.3252 4 0.288 0.94 1 0.819926666666667 0.0164289067086739 0 118 5 0.34 0.693 0 110 50.505 23.622 0.009 5 0.34 0.57243057891483 0
"61" "A_HP_031" 25 31 174 0.2245 3 50 1 4 0.263114 5 0.231436 0.56 0.903846153846154 0.840772294494721 0.0142269114378265 0 1567 142 26.928 18.618 0.002 1499 796.112 233.62 0 135 21.52 16.0293165761672 0
"62" "A_HP_032" 14 13 32 0.1758 4 21 1 4 0.429251 4 0.421522 0.17 1 0.779652083333333 0.0534072521966011 0 23 22 0.37 0.843 0 22 6.864 6.309 0.08 22 0.35 0.821122660899347 0
"63" "A_HP_033" 22 25 198 0.36 1 47 1 6 0.184496 6 0.154793 1 1 0.915272222222222 0.0304104952960335 0 3879 133 41.579 28.433 0.013 3858 2620.348 547.119 0 133 43.97 28.0628641345523 0
"64" "A_HP_034" 9 8 35 0.4861 1 17 1 4 0.206531 5 0.158776 0.99 0.9375 0.831204166666667 0.0250305254496908 0.015 103 3 0.631 0.917 0.088 60 46.474 21.35 0.26 3 0.52 0.834605090186764 0.07
"65" "A_HP_035" 6 7 15 0.3571 1 13 1 4 0.364444 4 0.335556 0.76 0.875 0.702333333333333 0.0818951642591927 0.021 3 0 0.004 0.063 1 1 0.282 0.509 0.254 0 0 0 1
"66" "A_HP_036" 8 13 30 0.2885 1 21 1 3 0.423333 3 0.422778 0.03 1 0.692142857142857 0.0394825505377633 0.001 23 7 0.514 0.922 0.001 23 3.919 3.666 0 7 0.57 0.912926253009707 0
"67" "A_HP_037" 17 21 90 0.2521 1 38 1 5 0.336173 5 0.303704 0.17 0.884090909090909 0.761412878787879 0.0504508508299765 0.003 388 72 6.995 7.995 0.002 294 112.312 62.609 0.004 63 6.43 12.9195294970151 0.02
"68" "A_HP_038" 10 20 52 0.26 2 28 1 4 0.364475 5 0.35198 0.16 1 0.674548295454545 0.0523192070417744 0 110 26 2.044 2.609 0 66 16.627 12.132 0.004 26 2.08 2.28159079715372 0
"69" "A_HP_039" 6 11 29 0.4394 1 17 1 4 0.281807 4 0.242568 0.75 1 0.73475 0.0496981630184397 0.001 36 1 0.075 0.267 0.074 20 8.765 6.109 0.063 1 0.04 0.196946385566932 0.04
"70" "A_HP_040" 8 18 28 0.1944 3 22 1 4 0.408284 4 0.383876 0.85 1 0.78405 0.035306745651656 0 10 0 0.02 0.178 1 10 2.563 3.519 0.111 0 0 0 1
"71" "A_HP_041" 11 10 50 0.4545 1 21 1 3 0.2368 4 0.1954 0.7 0.849206349206349 0.625115079365079 0.0656400394917201 0.001 194 13 4.757 3.582 0.024 43 18.625 8.436 0.02 11 3.61 4.14118267399471 0.06
"72" "A_HP_042" 21 32 84 0.125 4 46 1 5 0.436406 4 0.400703 0.82 0.941414141414141 0.621954545454545 0.0452022782043352 0 104 15 0.746 1.402 0 68 11.603 7.053 0 12 0.47 0.858175184018185 0
"73" "A_HP_043" 9 29 73 0.2797 2 36 1 5 0.291281 5 0.26765 0.91 0.945454545454545 0.805863636363636 0.025274342756626 0 262 23 2.075 3.192 0.001 112 67.87 43.275 0.142 3 0.37 0.917341349506906 0.06
"74" "A_HP_044" 27 26 197 0.2806 1 53 1 5 0.233966 6 0.200405 0.91 1 0.962220833333333 0.0241150337097638 0.001 3016 171 52.52 26.141 0.001 3016 2568.373 336.709 0.013 171 51.59 23.2783312776218 0
"75" "A_HP_045" 7 16 57 0.5089 1 23 1 4 0.204986 4 0.164358 0.94 1 0.788736904761905 0.0193494191692599 0 278 10 2.048 2.112 0.015 126 85.234 43.43 0.167 10 1.88 1.86558410167005 0
"76" "A_HP_046" 17 39 202 0.3047 1 56 1 4 0.246422 4 0.230664 0.05 0.890625 0.838218907828283 0.0151792393630681 0 3384 746 79.071 45.929 0 3364 1769.602 441.919 0 742 52.14 44.0853213162335 0
"77" "A_HP_047" 11 26 100 0.3497 2 33 1 4 0.212456 4 0.206611 0.5 0.792857142857143 0.789480952380952 0.017694498358046 0.419 703 67 8.665 6.013 0 241 221.663 78.575 0.371 52 6.49 8.89159744087108 0
"78" "A_HP_048" 12 14 71 0.4226 1 26 1 3 0.260067 2 0.194803 0.69 0.851851851851852 0.846898148148148 0.00384507335636981 0.266 432 48 10.805 6.289 0.002 285 205.618 87.265 0.222 32 6 4.9195548784438 0
"79" "A_HP_049" 5 19 39 0.4105 1 24 1 3 0.350427 3 0.324458 0.09 1 0.691587878787879 0.0378198284124545 0 56 18 1.711 3.076 0.003 27 8.531 8.574 0.041 18 2.2 3.8898988587511 0.01
"80" "A_HP_050" 27 35 226 0.2392 2 60 1 6 0.265837 5 0.232089 0.19 0.981481481481482 0.818705654761905 0.0162985412178729 0 4302 596 27.086 20.591 0 4231 1902.443 546.038 0 590 27.44 20.5044070158273 0
"81" "A_HP_051" 13 26 107 0.3166 1 39 1 4 0.24893 5 0.204035 1 0.867788461538462 0.826099519230769 0.0224917147501179 0.004 898 137 13.625 13.055 0 417 443.25 137.359 0.538 62 7.77 9.14181755904307 0
"82" "A_PH_004" 52 22 184 0.1608 1 74 1 5 0.422909 5 0.366996 0 0.923288770053476 0.601223523469994 0.0373652595121232 0 789 275 6.268 7.111 0 487 93.344 46.262 0 266 5.12 5.14689275684903 0
"83" "A_PH_005" 54 24 173 0.1335 1 78 1 5 0.419192 6 0.397307 0.03 0.946428571428571 0.71802876984127 0.0146883046866246 0 550 110 4.205 5.579 0 285 177.428 73.671 0.086 102 4.8 6.41336987326578 0
"84" "A_PH_006" 6 88 116 0.2197 1 94 1 5 0.392539 5 0.376672 0.95 1 0.868414693877551 0.0492932555694525 0 212 0 0.109 0.63 1 211 71.703 86.9 0.04 0 0.2 0.840874965182522 1
"85" "A_PH_007" 5 64 95 0.2969 1 69 1 3 0.328753 3 0.308199 1 1 0.659696209587514 0.0335558228029527 0 139 5 1.052 2.053 0.063 17 7.414 7.441 0.119 5 1.13 2.15394868775813 0.05
"86" "abe" 10 4 22 0.55 1 14 1 2 0.309917 2 0.305785 0.01 1 0.617104166666667 0.077815526799426 0 33 30 3.731 3.629 0 30 3.413 3.321 0 30 3.7 3.76989671106799 0
"87" "bac15" 25 12 146 0.4867 1 37 1 3 0.200225 3 0.192531 0 0.861111111111111 0.808916666666667 0.0104238797181995 0.001 2221 567 77.948 40.226 0 2190 1047.712 245.396 0 561 69.37 40.0632467153342 0
"88" "barrangou" 7 6 25 0.5952 1 13 1 2 0.2144 2 0.2072 0.14 0.75 0.769583333333333 0.00932522568003819 1 40 15 3.537 2.591 0.004 30 12.67 6.434 0.031 12 2.17 2.29208122972035 0.02
"89" "basker" 16 8 65 0.5078 1 24 1 4 0.175385 3 0.153728 0.85 0.916666666666667 0.834889880952381 0.016096960463338 0.002 477 20 4.18 3.29 0 409 148.979 83.047 0.005 20 2.96 3.84266321788166 0
"90" "braunbreton" 17 3 30 0.5882 1 20 1 3 0.175556 3 0.126667 0.97 1 0.879833333333333 0.0644486774657852 0.022 66 0 0 0 1 55 18.524 27.222 0.319 0 0 0 1
"91" "campbell" 5 5 14 0.56 1 10 1 4 0.22449 3 0.196429 0.83 0.916666666666667 0.836875 0.0718644285673763 0.268 10 0 0 0 1 7 3.608 2.542 0.157 0 0 0 1
"92" "capparelli" 16 8 54 0.4219 1 24 1 4 0.256516 3 0.235425 0.35 1 0.712425 0.0455253965210086 0 224 28 2.731 3.718 0 122 50.768 29.853 0.027 28 2.7 3.27062221862594 0
"93" "caso" 9 4 17 0.4722 2 11 1 2 0.1875 2 0.179688 0.24 1 0.7600625 0.0531728755894248 0.011 21 15 3.645 5.382 0.077 15 3.785 5.416 0.077 15 3.6 5.41602560309064 0.08
"94" "ceyssens" 4 12 29 0.6042 1 16 1 2 0.214031 2 0.192628 0.06 1 0.699372727272727 0.0386233018448166 0 75 37 7.185 12.664 0.009 37 7.771 13.273 0.013 37 8.57 13.8317852364864 0
"95" "comeau2005" 23 13 152 0.5084 1 36 1 4 0.173996 4 0.142313 0.84 0.916666666666667 0.888981691919192 0.024410328158135 0.01 2206 128 38.303 14.385 0 1876 1413.104 239.578 0.029 113 21.94 12.0343112168768 0
