"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Ficus_sp1_M_SD_004"	"Guarea_guidonia"	"Cordia_sulcata"	"Alchornea_latifolia"	"Miconia_serrulata"	"Clusia_rosea"	"Anthurium_scandens"	"Miconia_affinis"	"Inga_vera"	"Musa_acuminata"	"Inga_laurina"	"Dendropemon_bicolor"	"Myrcine_coriacea"	"Syzigium_jambos"	"Andira_inermis"	"Coffea_arabica"	"Miconia_racemosa"	"Palicourea_guianensis"	"Tilandsia_sp1_M_SD_004"	"Buchenavia_capitata"	"Casearia_arborea"	"Citrus_sinensis"	"Dendropanax_arboreus"	"Henriettea_fascicularis"	"Momordica_charantia"	"Palicourea_crocea"	"Philodendron_angustatum"	"Piper_sp1_M_SD_004"	"Solanum_rugosum"	"Unidentified_sp1_M_SD_004"	"Zanthoxylum_martinicensis"	"Spindalis_portoricensis"	"Euphonia_musica"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"	"Vireo_altiloquous"	"Melanerpes_portoricensis"	"Columba_squamosa"	"Margarops_fuscatus"	"Tyrannus_dominicensis"	"Zenaida_asiatica"	"Coereba_flaveola"	"Dendroica_tigrina"	"Vireo_flavirostris"	"Dendroica_caerulescens"	"Icterus_dominicensis"	"Myarchus_antillarum"	"Tiaris_bicolor"	"Todus_mexicanus"	"Tyrannus_caudifasciatus"	"Vireo_latimeri"
"Loxigilla_portoricensis"	0.128571428571429	0.0142857142857143	0.0857142857142857	0	0.242857142857143	0	0.2	0	0	0	0	0	0.0571428571428571	0	0.0142857142857143	0.0142857142857143	0.0428571428571429	0	0.0142857142857143	0.0142857142857143	0.0285714285714286	0	0.0142857142857143	0	0	0	0	0	0.0142857142857143	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vireo_altiloquous"	0.0195652173913043	0.058695652173913	0.0782608695652174	0.0195652173913043	0.273913043478261	0	0.058695652173913	0	0.215217391304348	0	0.0195652173913043	0.0195652173913043	0	0.0195652173913043	0	0.0195652173913043	0	0.0391304347826087	0.0391304347826087	0	0	0	0.0195652173913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanerpes_portoricensis"	0	0	0.45	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Columba_squamosa"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Margarops_fuscatus"	0	0.18	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tyrannus_dominicensis"	0	0.72	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zenaida_asiatica"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coereba_flaveola"	0.225	0.225	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendroica_tigrina"	0	0.225	0.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vireo_flavirostris"	0.45	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendroica_caerulescens"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Icterus_dominicensis"	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myarchus_antillarum"	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tiaris_bicolor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Todus_mexicanus"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tyrannus_caudifasciatus"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vireo_latimeri"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
